m,delta,f_crit
8.0,0.12,1.0
8.0,0.13,1.0
8.0,0.14,1.0
8.0,0.15,1.0
8.0,0.16,1.0
8.0,0.17,1.0
8.0,0.18,1.0
8.0,0.19,1.0
8.0,0.2,1.0
8.0,0.21,1.0
8.0,0.22,1.0
8.0,0.23,1.0
8.0,0.24,1.0
8.0,0.25,1.0
8.0,0.26,1.0
8.0,0.27,1.0
8.0,0.28,1.0
8.0,0.29,1.0
8.0,0.3,1.0
8.0,0.31,1.0
8.0,0.32,1.0
8.0,0.33,1.0
8.0,0.34,1.0
8.0,0.35000000000000003,1.0
8.0,0.36,1.0
8.0,0.37,1.0
8.0,0.38,1.0
8.0,0.39,1.0
8.0,0.4,1.0
8.0,0.41000000000000003,1.0
8.0,0.42,1.0
8.0,0.43,1.0
8.0,0.44,1.0
8.0,0.45,1.0
8.0,0.46,1.0
8.0,0.47000000000000003,1.0
8.0,0.48,1.0
8.0,0.49,1.0
8.0,0.5,0.99
8.0,0.51,1.0
8.0,0.52,1.0
8.0,0.53,1.0
8.0,0.54,1.0
8.0,0.55,1.0
8.0,0.56,0.99
8.0,0.5700000000000001,0.99
8.0,0.58,0.98
8.0,0.59,0.95
8.0,0.6,0.96
8.0,0.61,0.94
8.0,0.62,0.89
8.0,0.63,0.76
8.0,0.64,0.75
8.0,0.65,0.64
8.0,0.66,0.52
8.0,0.67,0.39
8.0,0.68,0.16
8.0,0.6900000000000001,0.03
8.0,0.7000000000000001,0.0
9.0,0.0,1.0
9.0,0.01,1.0
9.0,0.02,1.0
9.0,0.03,1.0
9.0,0.04,1.0
9.0,0.05,1.0
9.0,0.06,1.0
9.0,0.07,1.0
9.0,0.08,1.0
9.0,0.09,1.0
9.0,0.1,1.0
9.0,0.11,1.0
9.0,0.12,1.0
9.0,0.13,1.0
9.0,0.14,1.0
9.0,0.15,1.0
9.0,0.16,1.0
9.0,0.17,1.0
9.0,0.18,1.0
9.0,0.19,1.0
9.0,0.2,1.0
9.0,0.21,1.0
9.0,0.22,1.0
9.0,0.23,1.0
9.0,0.24,1.0
9.0,0.25,1.0
9.0,0.26,1.0
9.0,0.27,1.0
9.0,0.28,1.0
9.0,0.29,1.0
9.0,0.3,1.0
9.0,0.31,1.0
9.0,0.32,1.0
9.0,0.33,1.0
9.0,0.34,1.0
9.0,0.35000000000000003,1.0
9.0,0.36,1.0
9.0,0.37,1.0
9.0,0.38,1.0
9.0,0.39,1.0
9.0,0.4,1.0
9.0,0.41000000000000003,1.0
9.0,0.42,1.0
9.0,0.43,1.0
9.0,0.44,1.0
9.0,0.45,1.0
9.0,0.46,1.0
9.0,0.47000000000000003,1.0
9.0,0.48,1.0
9.0,0.49,1.0
9.0,0.5,1.0
9.0,0.51,1.0
9.0,0.52,1.0
9.0,0.53,0.99
9.0,0.54,1.0
9.0,0.55,0.99
9.0,0.56,0.99
9.0,0.5700000000000001,0.97
9.0,0.58,0.96
9.0,0.59,0.96
9.0,0.6,0.91
9.0,0.61,0.88
9.0,0.62,0.89
9.0,0.63,0.77
9.0,0.64,0.71
9.0,0.65,0.61
9.0,0.66,0.41
9.0,0.67,0.29
9.0,0.68,0.18
9.0,0.6900000000000001,0.05
9.0,0.7000000000000001,0.0
10.0,0.0,1.0
10.0,0.01,1.0
10.0,0.02,1.0
10.0,0.03,1.0
10.0,0.04,1.0
10.0,0.05,1.0
10.0,0.06,1.0
10.0,0.07,1.0
10.0,0.08,1.0
10.0,0.09,1.0
10.0,0.1,1.0
10.0,0.11,1.0
10.0,0.12,1.0
10.0,0.13,1.0
10.0,0.14,1.0
10.0,0.15,1.0
10.0,0.16,1.0
10.0,0.17,1.0
10.0,0.18,1.0
10.0,0.19,1.0
10.0,0.2,1.0
10.0,0.21,1.0
10.0,0.22,1.0
10.0,0.23,1.0
10.0,0.24,1.0
10.0,0.25,1.0
10.0,0.26,1.0
10.0,0.27,1.0
10.0,0.28,1.0
10.0,0.29,1.0
10.0,0.3,1.0
10.0,0.31,1.0
10.0,0.32,1.0
10.0,0.33,1.0
10.0,0.34,1.0
10.0,0.35000000000000003,1.0
10.0,0.36,1.0
10.0,0.37,1.0
10.0,0.38,1.0
10.0,0.39,1.0
10.0,0.4,1.0
10.0,0.41000000000000003,1.0
10.0,0.42,1.0
10.0,0.43,1.0
10.0,0.44,1.0
10.0,0.45,1.0
10.0,0.46,1.0
10.0,0.47000000000000003,1.0
10.0,0.48,1.0
10.0,0.49,1.0
10.0,0.5,1.0
10.0,0.51,1.0
10.0,0.52,1.0
10.0,0.53,0.99
10.0,0.54,0.98
10.0,0.55,0.96
10.0,0.56,0.99
10.0,0.5700000000000001,0.99
10.0,0.58,0.98
10.0,0.59,0.94
10.0,0.6,0.89
10.0,0.61,0.91
10.0,0.62,0.87
10.0,0.63,0.78
10.0,0.64,0.75
10.0,0.65,0.63
10.0,0.66,0.48
10.0,0.67,0.36
10.0,0.68,0.23
10.0,0.6900000000000001,0.08
10.0,0.7000000000000001,0.0
11.0,0.0,1.0
11.0,0.01,1.0
11.0,0.02,1.0
11.0,0.03,1.0
11.0,0.04,1.0
11.0,0.05,1.0
11.0,0.06,1.0
11.0,0.07,1.0
11.0,0.08,1.0
11.0,0.09,1.0
11.0,0.1,1.0
11.0,0.11,1.0
11.0,0.12,1.0
11.0,0.13,1.0
11.0,0.14,1.0
11.0,0.15,1.0
11.0,0.16,1.0
11.0,0.17,1.0
11.0,0.18,1.0
11.0,0.19,1.0
11.0,0.2,1.0
11.0,0.21,1.0
11.0,0.22,1.0
11.0,0.23,1.0
11.0,0.24,1.0
11.0,0.25,1.0
11.0,0.26,1.0
11.0,0.27,1.0
11.0,0.28,1.0
11.0,0.29,1.0
11.0,0.3,1.0
11.0,0.31,1.0
11.0,0.32,1.0
11.0,0.33,1.0
11.0,0.34,1.0
11.0,0.35000000000000003,1.0
11.0,0.36,1.0
11.0,0.37,1.0
11.0,0.38,1.0
11.0,0.39,1.0
11.0,0.4,1.0
11.0,0.41000000000000003,1.0
11.0,0.42,1.0
11.0,0.43,1.0
11.0,0.44,1.0
11.0,0.45,1.0
11.0,0.46,1.0
11.0,0.47000000000000003,0.98
11.0,0.48,1.0
11.0,0.49,1.0
11.0,0.5,1.0
11.0,0.51,1.0
11.0,0.52,1.0
11.0,0.53,1.0
11.0,0.54,0.99
11.0,0.55,0.97
11.0,0.56,0.97
11.0,0.5700000000000001,0.96
11.0,0.58,0.94
11.0,0.59,0.92
11.0,0.6,0.94
11.0,0.61,0.84
11.0,0.62,0.8
11.0,0.63,0.8
11.0,0.64,0.65
11.0,0.65,0.6
11.0,0.66,0.46
11.0,0.67,0.31
11.0,0.68,0.19
11.0,0.6900000000000001,0.08
11.0,0.7000000000000001,0.0
12.0,0.0,1.0
12.0,0.01,1.0
12.0,0.02,1.0
12.0,0.03,1.0
12.0,0.04,1.0
12.0,0.05,1.0
12.0,0.06,1.0
12.0,0.07,1.0
12.0,0.08,1.0
12.0,0.09,1.0
12.0,0.1,1.0
12.0,0.11,1.0
12.0,0.12,1.0
12.0,0.13,1.0
12.0,0.14,1.0
12.0,0.15,1.0
12.0,0.16,1.0
12.0,0.17,1.0
12.0,0.18,1.0
12.0,0.19,1.0
12.0,0.2,1.0
12.0,0.21,1.0
12.0,0.22,1.0
12.0,0.23,1.0
12.0,0.24,1.0
12.0,0.25,1.0
12.0,0.26,1.0
12.0,0.27,1.0
12.0,0.28,1.0
12.0,0.29,1.0
